Flower Name,MRP (₹),Qty Sold (kg),Weather,Customer Segment,Revenue,Profit Margin,Sale Frequency,Weather Impact Score,Customer Segment Score
Poppy,242,118,Rainy,Corporate Events,28556,5711.200000000001,284,5,7.0
Orchid,284,10,Rainy,Luxury Events,2840,568.0,289,5,
Daisy,85,209,Windy,Weddings,17765,3553.0,285,6,
Jasmine,92,146,Rainy,Luxury Events,13432,2686.4,293,5,
Carnation,168,188,Rainy,Weddings,31584,6316.8,283,5,
Zinnia,115,117,Sunny,Corporate Events,13455,2691.0,277,10,7.0
Carnation,173,71,Cloudy,Temple,12283,2456.6,283,7,6.0
Orchid,298,73,Cloudy,High-End Customers,21754,4350.8,289,7,9.0
Lily,205,152,Cloudy,Marriage,31160,6232.0,280,7,
Rose,152,202,Rainy,Luxury Events,30704,6140.8,281,5,
Rose,119,221,Cloudy,High-End Customers,26299,5259.8,281,7,9.0
Gerbera,138,103,Windy,Weddings,14214,2842.8,242,6,
Calla Lily,287,82,Sunny,Marriage,23534,4706.8,298,10,
Sunflower,113,119,Windy,Temple,13447,2689.4,257,6,6.0
Calla Lily,263,10,Windy,Weddings,2630,526.0,298,6,
Gerbera,103,163,Rainy,Luxury Events,16789,3357.8,242,5,
Dahlia,151,86,Windy,Weddings,12986,2597.2000000000003,300,6,
Lavender,172,86,Cloudy,Daily Consumers,14792,2958.4,284,7,
Orchid,290,10,Windy,Special Events,2900,580.0,289,6,8.0
Dahlia,203,41,Sunny,High-End Customers,8323,1664.6000000000001,300,10,9.0
Orchid,342,52,Windy,High-End Customers,17784,3556.8,289,6,9.0
Marigold,142,131,Sunny,Special Events,18602,3720.4,284,10,8.0
Tulip,270,37,Cloudy,Corporate Events,9990,1998.0,257,7,7.0
Marigold,200,243,Windy,Marriage,48600,9720.0,284,6,
Rose,155,221,Rainy,Special Events,34255,6851.0,281,5,8.0
Zinnia,132,90,Sunny,Luxury Events,11880,2376.0,277,10,
Hibiscus,134,93,Cloudy,Corporate Events,12462,2492.4,273,7,7.0
Jasmine,118,144,Sunny,Marriage,16992,3398.4,293,10,
Jasmine,131,135,Sunny,Luxury Events,17685,3537.0,293,10,
Poppy,266,10,Sunny,High-End Customers,2660,532.0,284,10,9.0
Dahlia,147,35,Windy,Corporate Events,5145,1029.0,300,6,7.0
Daisy,87,205,Windy,Luxury Events,17835,3567.0,285,6,
Dahlia,150,63,Cloudy,Marriage,9450,1890.0,300,7,
Marigold,141,179,Cloudy,Weddings,25239,5047.8,284,7,
Chrysanthemum,160,102,Sunny,Festivals,16320,3264.0,269,10,
Jasmine,89,106,Windy,Temple,9434,1886.8000000000002,293,6,6.0
Lavender,222,131,Sunny,Marriage,29082,5816.400000000001,284,10,
Marigold,154,148,Rainy,High-End Customers,22792,4558.400000000001,284,5,9.0
Hibiscus,131,195,Rainy,Festivals,25545,5109.0,273,5,
Chrysanthemum,125,60,Cloudy,Luxury Events,7500,1500.0,269,7,
Jasmine,96,91,Rainy,Temple,8736,1747.2,293,5,6.0
Lily,192,71,Rainy,Luxury Events,13632,2726.4,280,5,
Poppy,268,17,Windy,Marriage,4556,911.2,284,6,
Orchid,350,10,Windy,Special Events,3500,700.0,289,6,8.0
Jasmine,120,99,Rainy,Marriage,11880,2376.0,293,5,
Tulip,248,27,Rainy,Weddings,6696,1339.2,257,5,
Lavender,209,90,Rainy,High-End Customers,18810,3762.0,284,5,9.0
Dahlia,168,17,Windy,Special Events,2856,571.2,300,6,8.0
Tulip,277,44,Sunny,Daily Consumers,12188,2437.6,257,10,
Jasmine,89,155,Cloudy,Special Events,13795,2759.0,293,7,8.0
Zinnia,146,159,Rainy,Special Events,23214,4642.8,277,5,8.0
Rose,152,205,Windy,Luxury Events,31160,6232.0,281,6,
Hibiscus,71,212,Cloudy,Daily Consumers,15052,3010.4,273,7,
Calla Lily,252,86,Rainy,Weddings,21672,4334.400000000001,298,5,
Poppy,208,101,Rainy,Marriage,21008,4201.6,284,5,
Zinnia,134,162,Sunny,High-End Customers,21708,4341.6,277,10,9.0
Daisy,127,134,Cloudy,Temple,17018,3403.6000000000004,285,7,6.0
Carnation,168,63,Sunny,Festivals,10584,2116.8,283,10,
Lily,202,107,Rainy,Temple,21614,4322.8,280,5,6.0
Carnation,184,157,Cloudy,Corporate Events,28888,5777.6,283,7,7.0
Lavender,245,134,Rainy,Daily Consumers,32830,6566.0,284,5,
Orchid,302,109,Sunny,Luxury Events,32918,6583.6,289,10,
Tulip,233,85,Rainy,Weddings,19805,3961.0,257,5,
Lavender,210,41,Sunny,Daily Consumers,8610,1722.0,284,10,
Orchid,270,10,Rainy,High-End Customers,2700,540.0,289,5,9.0
Calla Lily,255,10,Cloudy,Special Events,2550,510.0,298,7,8.0
Marigold,148,199,Sunny,Marriage,29452,5890.400000000001,284,10,
Hibiscus,68,214,Cloudy,Weddings,14552,2910.4,273,7,
Orchid,339,80,Rainy,Corporate Events,27120,5424.0,289,5,7.0
Jasmine,106,72,Cloudy,Daily Consumers,7632,1526.4,293,7,
Calla Lily,282,45,Cloudy,High-End Customers,12690,2538.0,298,7,9.0
Lavender,248,71,Windy,Special Events,17608,3521.6000000000004,284,6,8.0
Daisy,104,131,Sunny,Daily Consumers,13624,2724.8,285,10,
Gerbera,92,203,Rainy,Temple,18676,3735.2000000000003,242,5,6.0
Geranium,152,188,Rainy,Marriage,28576,5715.200000000001,264,5,
Lavender,220,29,Windy,High-End Customers,6380,1276.0,284,6,9.0
Lily,161,37,Rainy,Festivals,5957,1191.4,280,5,
Dahlia,153,28,Windy,Festivals,4284,856.8000000000001,300,6,
Dahlia,177,147,Windy,Special Events,26019,5203.8,300,6,8.0
Dahlia,202,44,Rainy,Corporate Events,8888,1777.6000000000001,300,5,7.0
Sunflower,146,197,Cloudy,Luxury Events,28762,5752.400000000001,257,7,
Daisy,91,115,Windy,Corporate Events,10465,2093.0,285,6,7.0
Lavender,218,10,Sunny,Festivals,2180,436.0,284,10,
Carnation,196,191,Sunny,High-End Customers,37436,7487.200000000001,283,10,9.0
Daisy,80,93,Rainy,Daily Consumers,7440,1488.0,285,5,
Carnation,191,114,Windy,Temple,21774,4354.8,283,6,6.0
Jasmine,129,80,Cloudy,Special Events,10320,2064.0,293,7,8.0
Jasmine,98,166,Cloudy,Special Events,16268,3253.6000000000004,293,7,8.0
Daisy,141,208,Rainy,Weddings,29328,5865.6,285,5,
Chrysanthemum,124,46,Windy,Corporate Events,5704,1140.8,269,6,7.0
Tulip,287,65,Windy,Temple,18655,3731.0,257,6,6.0
Carnation,150,55,Windy,Festivals,8250,1650.0,283,6,
Lily,172,90,Sunny,Festivals,15480,3096.0,280,10,
Geranium,155,184,Windy,Marriage,28520,5704.0,264,6,
Marigold,133,190,Rainy,Weddings,25270,5054.0,284,5,
Gerbera,80,165,Cloudy,Luxury Events,13200,2640.0,242,7,
Lily,196,78,Cloudy,High-End Customers,15288,3057.6000000000004,280,7,9.0
Calla Lily,295,63,Cloudy,Festivals,18585,3717.0,298,7,
Orchid,288,10,Rainy,High-End Customers,2880,576.0,289,5,9.0
Geranium,127,65,Windy,Weddings,8255,1651.0,264,6,
Orchid,332,83,Rainy,Weddings,27556,5511.200000000001,289,5,
Zinnia,145,153,Cloudy,Marriage,22185,4437.0,277,7,
Tulip,267,10,Rainy,Luxury Events,2670,534.0,257,5,
Poppy,226,94,Cloudy,Daily Consumers,21244,4248.8,284,7,
Marigold,199,177,Cloudy,Corporate Events,35223,7044.6,284,7,7.0
Chrysanthemum,151,67,Rainy,Daily Consumers,10117,2023.4,269,5,
Marigold,132,135,Windy,Weddings,17820,3564.0,284,6,
Calla Lily,297,10,Windy,Festivals,2970,594.0,298,6,
Zinnia,103,168,Cloudy,Special Events,17304,3460.8,277,7,8.0
Chrysanthemum,153,72,Cloudy,Daily Consumers,11016,2203.2000000000003,269,7,
Jasmine,76,33,Rainy,Marriage,2508,501.6,293,5,
Chrysanthemum,174,73,Windy,Luxury Events,12702,2540.4,269,6,
Jasmine,107,89,Rainy,Festivals,9523,1904.6000000000001,293,5,
Tulip,267,10,Rainy,Luxury Events,2670,534.0,257,5,
Sunflower,160,188,Sunny,Luxury Events,30080,6016.0,257,10,
Chrysanthemum,112,102,Cloudy,Luxury Events,11424,2284.8,269,7,
Geranium,143,117,Rainy,Festivals,16731,3346.2000000000003,264,5,
Tulip,276,105,Sunny,Festivals,28980,5796.0,257,10,
Zinnia,139,201,Rainy,Special Events,27939,5587.8,277,5,8.0
Tulip,253,130,Sunny,Marriage,32890,6578.0,257,10,
Jasmine,89,62,Sunny,Marriage,5518,1103.6000000000001,293,10,
Zinnia,131,93,Rainy,Weddings,12183,2436.6,277,5,
Lavender,203,10,Windy,Festivals,2030,406.0,284,6,
Orchid,320,84,Windy,Marriage,26880,5376.0,289,6,
Zinnia,88,176,Sunny,Temple,15488,3097.6000000000004,277,10,6.0
Orchid,309,10,Sunny,Luxury Events,3090,618.0,289,10,
Zinnia,115,89,Cloudy,Special Events,10235,2047.0,277,7,8.0
Lily,187,57,Windy,Marriage,10659,2131.8,280,6,
Jasmine,143,42,Sunny,Temple,6006,1201.2,293,10,6.0
Gerbera,117,256,Windy,Temple,29952,5990.400000000001,242,6,6.0
Marigold,163,259,Cloudy,Temple,42217,8443.4,284,7,6.0
Zinnia,81,119,Windy,Corporate Events,9639,1927.8000000000002,277,6,7.0
Geranium,173,148,Cloudy,Luxury Events,25604,5120.8,264,7,
Calla Lily,258,139,Sunny,Special Events,35862,7172.400000000001,298,10,8.0
Rose,154,173,Rainy,Special Events,26642,5328.400000000001,281,5,8.0
Tulip,243,54,Windy,Temple,13122,2624.4,257,6,6.0
Chrysanthemum,144,71,Sunny,High-End Customers,10224,2044.8000000000002,269,10,9.0
Daisy,141,142,Cloudy,Special Events,20022,4004.4,285,7,8.0
Carnation,172,57,Windy,Temple,9804,1960.8000000000002,283,6,6.0
Jasmine,83,28,Cloudy,Weddings,2324,464.8,293,7,
Tulip,258,10,Cloudy,Temple,2580,516.0,257,7,6.0
Zinnia,91,99,Cloudy,Festivals,9009,1801.8000000000002,277,7,
Gerbera,104,250,Windy,Luxury Events,26000,5200.0,242,6,
Chrysanthemum,159,100,Rainy,Weddings,15900,3180.0,269,5,
Carnation,184,120,Sunny,Weddings,22080,4416.0,283,10,
Dahlia,182,12,Sunny,Weddings,2184,436.8,300,10,
Chrysanthemum,146,63,Windy,Corporate Events,9198,1839.6000000000001,269,6,7.0
Dahlia,176,45,Windy,Daily Consumers,7920,1584.0,300,6,
Lily,207,111,Cloudy,Luxury Events,22977,4595.400000000001,280,7,
Carnation,196,191,Windy,Luxury Events,37436,7487.200000000001,283,6,
Carnation,205,93,Cloudy,Festivals,19065,3813.0,283,7,
Daisy,107,172,Sunny,Temple,18404,3680.8,285,10,6.0
Sunflower,164,43,Sunny,Weddings,7052,1410.4,257,10,
Zinnia,95,204,Windy,Daily Consumers,19380,3876.0,277,6,
Zinnia,94,175,Sunny,Temple,16450,3290.0,277,10,6.0
Daisy,128,148,Rainy,High-End Customers,18944,3788.8,285,5,9.0
Daisy,87,133,Rainy,Weddings,11571,2314.2000000000003,285,5,
Jasmine,97,64,Windy,Daily Consumers,6208,1241.6000000000001,293,6,
Jasmine,124,24,Sunny,Weddings,2976,595.2,293,10,
Chrysanthemum,169,24,Windy,Corporate Events,4056,811.2,269,6,7.0
Carnation,156,106,Cloudy,Temple,16536,3307.2000000000003,283,7,6.0
Geranium,181,124,Rainy,Daily Consumers,22444,4488.8,264,5,
Zinnia,110,155,Cloudy,Festivals,17050,3410.0,277,7,
Sunflower,138,181,Cloudy,Temple,24978,4995.6,257,7,6.0
Zinnia,115,186,Windy,Daily Consumers,21390,4278.0,277,6,
Carnation,155,176,Sunny,Luxury Events,27280,5456.0,283,10,
Tulip,248,123,Windy,Daily Consumers,30504,6100.8,257,6,
Zinnia,71,170,Windy,High-End Customers,12070,2414.0,277,6,9.0
Tulip,299,107,Cloudy,Weddings,31993,6398.6,257,7,
Carnation,165,147,Windy,Marriage,24255,4851.0,283,6,
Geranium,118,157,Cloudy,Luxury Events,18526,3705.2000000000003,264,7,
Calla Lily,261,10,Sunny,Corporate Events,2610,522.0,298,10,7.0
Lavender,235,10,Rainy,Festivals,2350,470.0,284,5,
Sunflower,169,147,Windy,Luxury Events,24843,4968.6,257,6,
Hibiscus,112,109,Windy,Luxury Events,12208,2441.6,273,6,
Tulip,300,10,Cloudy,Marriage,3000,600.0,257,7,
Rose,126,143,Sunny,Festivals,18018,3603.6000000000004,281,10,
Jasmine,74,89,Rainy,Weddings,6586,1317.2,293,5,
Lily,220,34,Cloudy,Festivals,7480,1496.0,280,7,
Dahlia,203,31,Sunny,Weddings,6293,1258.6000000000001,300,10,
Daisy,106,191,Rainy,Temple,20246,4049.2000000000003,285,5,6.0
Zinnia,136,161,Windy,Weddings,21896,4379.2,277,6,
Sunflower,157,152,Cloudy,Special Events,23864,4772.8,257,7,8.0
Jasmine,121,142,Sunny,Special Events,17182,3436.4,293,10,8.0
Dahlia,169,139,Cloudy,Luxury Events,23491,4698.2,300,7,
Rose,93,203,Windy,Marriage,18879,3775.8,281,6,
Lavender,188,109,Rainy,Corporate Events,20492,4098.400000000001,284,5,7.0
Zinnia,121,52,Rainy,Temple,6292,1258.4,277,5,6.0
Chrysanthemum,125,20,Windy,High-End Customers,2500,500.0,269,6,9.0
Daisy,139,78,Windy,High-End Customers,10842,2168.4,285,6,9.0
Marigold,131,240,Sunny,High-End Customers,31440,6288.0,284,10,9.0
Orchid,337,72,Cloudy,Marriage,24264,4852.8,289,7,
Jasmine,116,131,Cloudy,Luxury Events,15196,3039.2000000000003,293,7,
Dahlia,142,10,Sunny,Corporate Events,1420,284.0,300,10,7.0
Poppy,192,16,Rainy,Special Events,3072,614.4000000000001,284,5,8.0
Rose,91,211,Sunny,Festivals,19201,3840.2000000000003,281,10,
Hibiscus,83,125,Windy,Festivals,10375,2075.0,273,6,
Dahlia,197,77,Cloudy,Special Events,15169,3033.8,300,7,8.0
Orchid,323,79,Cloudy,Weddings,25517,5103.400000000001,289,7,
Geranium,163,52,Windy,High-End Customers,8476,1695.2,264,6,9.0
Sunflower,128,184,Cloudy,Daily Consumers,23552,4710.400000000001,257,7,
Chrysanthemum,156,51,Sunny,Temple,7956,1591.2,269,10,6.0
Hibiscus,107,176,Sunny,High-End Customers,18832,3766.4,273,10,9.0
Chrysanthemum,131,157,Cloudy,Festivals,20567,4113.400000000001,269,7,
Sunflower,128,181,Cloudy,Festivals,23168,4633.6,257,7,
Daisy,123,176,Rainy,Corporate Events,21648,4329.6,285,5,7.0
Daisy,128,93,Rainy,Daily Consumers,11904,2380.8,285,5,
Rose,167,70,Windy,Special Events,11690,2338.0,281,6,8.0
Geranium,171,111,Sunny,Special Events,18981,3796.2000000000003,264,10,8.0
Daisy,154,185,Cloudy,Weddings,28490,5698.0,285,7,
Lily,194,75,Sunny,Festivals,14550,2910.0,280,10,
Rose,140,113,Windy,Temple,15820,3164.0,281,6,6.0
Geranium,160,64,Cloudy,Marriage,10240,2048.0,264,7,
Calla Lily,220,78,Cloudy,Daily Consumers,17160,3432.0,298,7,
Daisy,104,96,Cloudy,High-End Customers,9984,1996.8000000000002,285,7,9.0
Rose,168,200,Cloudy,Temple,33600,6720.0,281,7,6.0
Daisy,97,89,Cloudy,Daily Consumers,8633,1726.6000000000001,285,7,
Lily,195,10,Sunny,Weddings,1950,390.0,280,10,
Dahlia,160,103,Windy,Special Events,16480,3296.0,300,6,8.0
Dahlia,193,61,Cloudy,Weddings,11773,2354.6,300,7,
Carnation,174,180,Sunny,Daily Consumers,31320,6264.0,283,10,
Lily,157,125,Cloudy,Festivals,19625,3925.0,280,7,
Dahlia,179,74,Windy,Weddings,13246,2649.2000000000003,300,6,
Calla Lily,245,51,Windy,Marriage,12495,2499.0,298,6,
Gerbera,88,242,Rainy,Weddings,21296,4259.2,242,5,
Tulip,261,109,Rainy,Festivals,28449,5689.8,257,5,
Daisy,143,179,Windy,Temple,25597,5119.400000000001,285,6,6.0
Orchid,336,69,Sunny,Marriage,23184,4636.8,289,10,
Daisy,116,209,Windy,Luxury Events,24244,4848.8,285,6,
Lily,229,26,Cloudy,Special Events,5954,1190.8,280,7,8.0
Marigold,198,130,Sunny,Temple,25740,5148.0,284,10,6.0
Tulip,294,42,Rainy,Corporate Events,12348,2469.6000000000004,257,5,7.0
Poppy,246,10,Cloudy,Daily Consumers,2460,492.0,284,7,
Hibiscus,80,187,Sunny,Festivals,14960,2992.0,273,10,
Hibiscus,88,209,Cloudy,Special Events,18392,3678.4,273,7,8.0
Rose,92,100,Sunny,Marriage,9200,1840.0,281,10,
Zinnia,134,175,Cloudy,Festivals,23450,4690.0,277,7,
Tulip,269,17,Rainy,Marriage,4573,914.6,257,5,
Orchid,307,44,Sunny,Temple,13508,2701.6000000000004,289,10,6.0
Lily,228,72,Cloudy,Temple,16416,3283.2000000000003,280,7,6.0
Lavender,186,79,Cloudy,Daily Consumers,14694,2938.8,284,7,
Hibiscus,89,188,Windy,Temple,16732,3346.4,273,6,6.0
Dahlia,160,12,Windy,Luxury Events,1920,384.0,300,6,
Dahlia,150,10,Rainy,Special Events,1500,300.0,300,5,8.0
Sunflower,150,156,Cloudy,Special Events,23400,4680.0,257,7,8.0
Sunflower,158,72,Windy,Daily Consumers,11376,2275.2000000000003,257,6,
Orchid,271,103,Cloudy,Weddings,27913,5582.6,289,7,
Rose,120,169,Sunny,Festivals,20280,4056.0,281,10,
Jasmine,79,148,Rainy,Special Events,11692,2338.4,293,5,8.0
Sunflower,144,192,Rainy,Daily Consumers,27648,5529.6,257,5,
Jasmine,117,166,Rainy,Marriage,19422,3884.4,293,5,
Dahlia,211,126,Rainy,Temple,26586,5317.200000000001,300,5,6.0
Calla Lily,243,10,Rainy,Marriage,2430,486.0,298,5,
Daisy,159,73,Cloudy,Festivals,11607,2321.4,285,7,
Geranium,130,154,Sunny,High-End Customers,20020,4004.0,264,10,9.0
Tulip,256,49,Rainy,High-End Customers,12544,2508.8,257,5,9.0
Carnation,141,64,Sunny,Weddings,9024,1804.8000000000002,283,10,
Chrysanthemum,158,170,Cloudy,Weddings,26860,5372.0,269,7,
Carnation,204,71,Windy,Festivals,14484,2896.8,283,6,
Geranium,127,102,Windy,Special Events,12954,2590.8,264,6,8.0
Jasmine,118,168,Cloudy,Daily Consumers,19824,3964.8,293,7,
Gerbera,80,143,Cloudy,Daily Consumers,11440,2288.0,242,7,
Lavender,198,10,Cloudy,Daily Consumers,1980,396.0,284,7,
Poppy,207,76,Sunny,Luxury Events,15732,3146.4,284,10,
Carnation,159,67,Sunny,Festivals,10653,2130.6,283,10,
Orchid,317,31,Rainy,Weddings,9827,1965.4,289,5,
Hibiscus,69,81,Windy,Special Events,5589,1117.8,273,6,8.0
Sunflower,157,101,Sunny,Marriage,15857,3171.4,257,10,
Rose,139,182,Cloudy,Special Events,25298,5059.6,281,7,8.0
Tulip,232,21,Windy,Temple,4872,974.4000000000001,257,6,6.0
Lily,185,10,Windy,Special Events,1850,370.0,280,6,8.0
Orchid,298,10,Windy,Marriage,2980,596.0,289,6,
Lavender,213,13,Windy,Temple,2769,553.8000000000001,284,6,6.0
Lavender,222,80,Sunny,Festivals,17760,3552.0,284,10,
Chrysanthemum,157,67,Rainy,Daily Consumers,10519,2103.8,269,5,
Jasmine,96,42,Rainy,Corporate Events,4032,806.4000000000001,293,5,7.0
Dahlia,183,93,Cloudy,Weddings,17019,3403.8,300,7,
Jasmine,146,151,Windy,Luxury Events,22046,4409.2,293,6,
Calla Lily,300,93,Cloudy,Marriage,27900,5580.0,298,7,
Chrysanthemum,181,111,Sunny,Corporate Events,20091,4018.2000000000003,269,10,7.0
Hibiscus,113,240,Cloudy,Weddings,27120,5424.0,273,7,
Calla Lily,288,10,Rainy,Marriage,2880,576.0,298,5,
Gerbera,145,109,Windy,Temple,15805,3161.0,242,6,6.0
Dahlia,208,130,Rainy,Special Events,27040,5408.0,300,5,8.0
Daisy,95,181,Rainy,Temple,17195,3439.0,285,5,6.0
Sunflower,129,49,Cloudy,Daily Consumers,6321,1264.2,257,7,
Calla Lily,243,26,Cloudy,Corporate Events,6318,1263.6000000000001,298,7,7.0
Carnation,177,168,Sunny,Temple,29736,5947.200000000001,283,10,6.0
Daisy,89,162,Sunny,Corporate Events,14418,2883.6000000000004,285,10,7.0
Chrysanthemum,170,101,Rainy,Corporate Events,17170,3434.0,269,5,7.0
Zinnia,104,90,Windy,High-End Customers,9360,1872.0,277,6,9.0
Lily,224,109,Rainy,Daily Consumers,24416,4883.2,280,5,
Sunflower,153,178,Rainy,Temple,27234,5446.8,257,5,6.0
Carnation,139,95,Sunny,Daily Consumers,13205,2641.0,283,10,
Geranium,153,178,Cloudy,Corporate Events,27234,5446.8,264,7,7.0
Dahlia,196,127,Sunny,Luxury Events,24892,4978.400000000001,300,10,
Hibiscus,64,108,Sunny,Special Events,6912,1382.4,273,10,8.0
Marigold,140,148,Windy,Luxury Events,20720,4144.0,284,6,
Orchid,288,10,Windy,Special Events,2880,576.0,289,6,8.0
Marigold,147,193,Rainy,Temple,28371,5674.200000000001,284,5,6.0
Orchid,278,10,Sunny,Marriage,2780,556.0,289,10,
Geranium,119,30,Windy,Marriage,3570,714.0,264,6,
Jasmine,135,55,Rainy,Marriage,7425,1485.0,293,5,
Hibiscus,104,183,Windy,Special Events,19032,3806.4,273,6,8.0
Daisy,159,165,Cloudy,Daily Consumers,26235,5247.0,285,7,
Carnation,148,149,Cloudy,Festivals,22052,4410.400000000001,283,7,
Gerbera,154,189,Windy,Weddings,29106,5821.200000000001,242,6,
Chrysanthemum,127,122,Cloudy,Luxury Events,15494,3098.8,269,7,
Calla Lily,234,20,Sunny,Temple,4680,936.0,298,10,6.0
Jasmine,89,55,Sunny,High-End Customers,4895,979.0,293,10,9.0
Carnation,155,156,Sunny,Marriage,24180,4836.0,283,10,
Poppy,224,10,Sunny,Daily Consumers,2240,448.0,284,10,
Geranium,163,164,Rainy,High-End Customers,26732,5346.400000000001,264,5,9.0
Orchid,314,10,Cloudy,Special Events,3140,628.0,289,7,8.0
Calla Lily,263,47,Windy,Daily Consumers,12361,2472.2000000000003,298,6,
Geranium,189,58,Windy,Daily Consumers,10962,2192.4,264,6,
Orchid,301,62,Rainy,Special Events,18662,3732.4,289,5,8.0
Jasmine,75,165,Windy,Temple,12375,2475.0,293,6,6.0
Lavender,203,106,Sunny,High-End Customers,21518,4303.6,284,10,9.0
Marigold,164,265,Rainy,Weddings,43460,8692.0,284,5,
Sunflower,138,187,Windy,Special Events,25806,5161.200000000001,257,6,8.0
Dahlia,220,90,Windy,Temple,19800,3960.0,300,6,6.0
Lily,197,63,Rainy,Luxury Events,12411,2482.2000000000003,280,5,
Chrysanthemum,184,62,Windy,Festivals,11408,2281.6,269,6,
Lily,200,99,Windy,High-End Customers,19800,3960.0,280,6,9.0
Jasmine,108,147,Cloudy,Special Events,15876,3175.2000000000003,293,7,8.0
Lily,164,69,Cloudy,Temple,11316,2263.2000000000003,280,7,6.0
Lavender,223,33,Rainy,Festivals,7359,1471.8000000000002,284,5,
Rose,142,219,Rainy,Marriage,31098,6219.6,281,5,
Poppy,205,29,Sunny,Luxury Events,5945,1189.0,284,10,
Calla Lily,269,109,Sunny,Luxury Events,29321,5864.200000000001,298,10,
Zinnia,104,89,Sunny,Daily Consumers,9256,1851.2,277,10,
Zinnia,105,163,Rainy,Temple,17115,3423.0,277,5,6.0
Jasmine,100,43,Sunny,Luxury Events,4300,860.0,293,10,
Carnation,205,89,Rainy,Temple,18245,3649.0,283,5,6.0
Lily,162,91,Rainy,Luxury Events,14742,2948.4,280,5,
Lily,157,63,Sunny,Corporate Events,9891,1978.2,280,10,7.0
Lily,160,60,Cloudy,Festivals,9600,1920.0,280,7,
Orchid,296,10,Cloudy,Weddings,2960,592.0,289,7,
Hibiscus,67,155,Windy,Temple,10385,2077.0,273,6,6.0
Sunflower,157,48,Rainy,Temple,7536,1507.2,257,5,6.0
Marigold,167,181,Rainy,High-End Customers,30227,6045.400000000001,284,5,9.0
Zinnia,85,52,Windy,Temple,4420,884.0,277,6,6.0
Lavender,218,75,Cloudy,Special Events,16350,3270.0,284,7,8.0
Lily,183,56,Cloudy,High-End Customers,10248,2049.6,280,7,9.0
Geranium,177,54,Rainy,High-End Customers,9558,1911.6000000000001,264,5,9.0
Gerbera,100,217,Sunny,Special Events,21700,4340.0,242,10,8.0
Chrysanthemum,126,170,Rainy,High-End Customers,21420,4284.0,269,5,9.0
Jasmine,137,66,Sunny,Luxury Events,9042,1808.4,293,10,
Gerbera,99,207,Windy,Corporate Events,20493,4098.6,242,6,7.0
Geranium,120,183,Windy,Special Events,21960,4392.0,264,6,8.0
Lily,158,24,Rainy,Corporate Events,3792,758.4000000000001,280,5,7.0
Calla Lily,253,16,Cloudy,Festivals,4048,809.6,298,7,
Geranium,117,88,Cloudy,Daily Consumers,10296,2059.2000000000003,264,7,
Marigold,152,190,Cloudy,Marriage,28880,5776.0,284,7,
Orchid,284,10,Sunny,Marriage,2840,568.0,289,10,
Daisy,91,154,Cloudy,Festivals,14014,2802.8,285,7,
Lavender,202,10,Cloudy,Corporate Events,2020,404.0,284,7,7.0
Hibiscus,74,171,Sunny,Luxury Events,12654,2530.8,273,10,
Daisy,106,148,Cloudy,Special Events,15688,3137.6000000000004,285,7,8.0
Lavender,224,86,Rainy,Marriage,19264,3852.8,284,5,
Rose,142,228,Windy,Corporate Events,32376,6475.200000000001,281,6,7.0
Chrysanthemum,149,94,Rainy,Luxury Events,14006,2801.2000000000003,269,5,
Chrysanthemum,145,103,Cloudy,Special Events,14935,2987.0,269,7,8.0
Lily,217,53,Cloudy,Daily Consumers,11501,2300.2000000000003,280,7,
Gerbera,145,132,Rainy,Luxury Events,19140,3828.0,242,5,
Carnation,153,201,Windy,High-End Customers,30753,6150.6,283,6,9.0
Chrysanthemum,185,79,Rainy,Marriage,14615,2923.0,269,5,
Rose,101,210,Cloudy,Marriage,21210,4242.0,281,7,
Gerbera,112,203,Sunny,Weddings,22736,4547.2,242,10,
Calla Lily,223,86,Windy,Temple,19178,3835.6000000000004,298,6,6.0
Gerbera,92,208,Rainy,Marriage,19136,3827.2000000000003,242,5,
Marigold,150,202,Windy,Luxury Events,30300,6060.0,284,6,
Zinnia,93,180,Cloudy,Corporate Events,16740,3348.0,277,7,7.0
Marigold,125,249,Sunny,Daily Consumers,31125,6225.0,284,10,
Lily,197,110,Cloudy,Festivals,21670,4334.0,280,7,
Calla Lily,287,115,Sunny,Daily Consumers,33005,6601.0,298,10,
Dahlia,188,32,Sunny,Temple,6016,1203.2,300,10,6.0
Poppy,224,60,Rainy,Luxury Events,13440,2688.0,284,5,
Chrysanthemum,173,62,Cloudy,Weddings,10726,2145.2000000000003,269,7,
Hibiscus,61,121,Windy,High-End Customers,7381,1476.2,273,6,9.0
Geranium,115,188,Rainy,Weddings,21620,4324.0,264,5,
Jasmine,143,115,Rainy,High-End Customers,16445,3289.0,293,5,9.0
Dahlia,193,105,Sunny,Daily Consumers,20265,4053.0,300,10,
Zinnia,145,71,Sunny,Marriage,10295,2059.0,277,10,
Tulip,259,123,Windy,Special Events,31857,6371.400000000001,257,6,8.0
Calla Lily,232,103,Rainy,Special Events,23896,4779.2,298,5,8.0
Poppy,249,13,Windy,High-End Customers,3237,647.4000000000001,284,6,9.0
Marigold,159,193,Rainy,Corporate Events,30687,6137.400000000001,284,5,7.0
Poppy,208,24,Sunny,Temple,4992,998.4000000000001,284,10,6.0
Rose,135,194,Sunny,Weddings,26190,5238.0,281,10,
Calla Lily,272,87,Windy,Luxury Events,23664,4732.8,298,6,
